الاسم,خط العرض,خط الطول,التصنيف,الوصف,معرف المكان,سعر الدخول (جنيه)
Sinai Grand Casino,27.918536,34.3403121,أخرى,"Sinai Grand Casino is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",666,
Dunraven,27.7033333,34.1216666,أخرى,"Dunraven is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",668,
Ras Katy,27.8466578,34.3024876,أخرى,"Ras Katy is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",669,
Ras Umm Sid,27.847261,34.31648,أخرى,"Ras Umm Sid is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",670,
Animation Dessole Seti Sharm,27.8633049,34.2959938,أخرى,"Animation Dessole Seti Sharm is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",672,
Mangrove trees,27.7292689,34.2467835,أخرى,"Mangrove trees is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",674,
Turtle Bay,27.8644615,34.3229602,أخرى,"Turtle Bay is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",675,
Pinky Wall,27.8795604,34.3220161,أخرى,"Pinky Wall is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",676,
White island,27.7442598,34.1637749,أخرى,"White island is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",686,
Old Quay Beach,27.7360188,34.2410701,أخرى,"Old Quay Beach is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",689,
Shark & Yolanda Reef,27.7281718,34.2566574,أخرى,"Shark & Yolanda Reef is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",690,
Shark Observatory Clifftop,27.7318843,34.2602631,أخرى,"Shark Observatory Clifftop is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",691,
Ras Um Sid,27.8482308,34.310403,أخرى,"Ras Um Sid is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",700,
King Tut Museum,27.9074779,34.3188138,ثقافي,"The King Tutankhamun Museum offers an immersive experience recreating the discovery of the famous boy pharaoh's tomb by Howard Carter in 1922. Featuring replica artifacts from the original Tutankhamun collection, it provides an accessible introduction to one of archaeology's most celebrated finds. The museum includes life-size reproductions of the nested coffins and funerary treasures.",704,150.0
Hollywood park sharm,27.9281335,34.3455117,أخرى,"Hollywood park sharm is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",707,
Marsa Kharita,27.8246951,34.2667686,أخرى,"Marsa Kharita is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",708,
Marsa Bareika,27.7866024,34.2177797,أخرى,"Marsa Bareika is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",709,
Sharm,27.908208,34.3244795,أخرى,"Sharm is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",710,
Shark Observatory,27.7310555,34.2597859,أخرى,"Shark Observatory is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",711,
South Sinai Governorate,27.8955101,34.3039262,أخرى,"South Sinai Governorate is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",717,
el Fanara Beach,27.8482533,34.3141824,أخرى,"el Fanara Beach is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",718,
Old quay,27.7379401,34.238864,أخرى,"Old quay is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",720,
Hidden bay,27.7342382,34.2457746,أخرى,"Hidden bay is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",721,
Mangrove channel,27.7279086,34.2479521,أخرى,"Mangrove channel is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",724,
Earthquake crack,27.728068,34.2581653,أخرى,"Earthquake crack is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",726,
Earthquake crack,27.7279252,34.2576349,أخرى,"Earthquake crack is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",727,
Earthquake crack,27.7299718,34.2566693,أخرى,"Earthquake crack is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",728,
Amirati Beach,27.8618271,34.2895379,أخرى,"Amirati Beach is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",730,
Dolphins,27.8607955,34.3028897,أخرى,"Dolphins is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",734,
Compass,27.9025639,34.3127282,أخرى,"Compass is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",736,
Mohamed Ali Pacha,27.8662583,34.296414,أخرى,"Mohamed Ali Pacha is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",740,
Faraana atv safari,27.9442758,34.313349,أخرى,"Faraana atv safari is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",741,
Pennut’s Tomb,22.7371389,32.2611775,أخرى,Pennut’s Tomb is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,742,
حديقة حيوان دسوق,31.1248036,30.6448135,أخرى,"حديقة حيوان دسوق is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",744,
نصب المصحف الشريف,31.1282526,30.6451251,أخرى,"نصب المصحف الشريف is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",749,
كوم فرين,30.8646311,30.4843172,تاريخي,كوم فرين is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,755,
Naucratis,30.8996243,30.5923303,أخرى,"Naucratis is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",756,
Amphitheater,25.9663789,34.3621962,أخرى,"Amphitheater is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",761,
Lake Rayan from Mt Medawara,29.1803327,30.3506529,أخرى,"Lake Rayan from Mt Medawara is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",766,
Magic Lake from Mt Medawara,29.1715509,30.3500423,أخرى,"Magic Lake from Mt Medawara is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",767,
Observation of a narrow Sandsea,28.9853081,30.4061646,أخرى,"Observation of a narrow Sandsea is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",768,
الشاطئ المسحور,29.1545377,30.4169,خارجي وطبيعي,"الشاطئ المسحور is an outdoor natural or recreational area in Egypt, offering visitors the opportunity to experience the country's diverse landscapes from the Nile Valley to the desert and Mediterranean coast.",769,
Blue Hole Memorial,28.5732169,34.5384791,أخرى,"Blue Hole Memorial is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",771,
The Bells,28.5734535,34.5392697,أخرى,"The Bells is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",772,
Blue Hole,28.5723028,34.5373553,أخرى,"Blue Hole is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",776,
Canyon,28.554359,34.5212059,أخرى,"Canyon is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",777,
camel tomb,28.6961625,34.3954707,أخرى,camel tomb is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,778,
tafoni,28.8999505,34.4373091,أخرى,"tafoni is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",779,
Hadudah,28.7713253,34.4340271,أخرى,"Hadudah is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",780,
Hedeide,28.7599078,34.4377742,أخرى,"Hedeide is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",781,
Naqb Mehamed,28.9277289,34.4912286,أخرى,"Naqb Mehamed is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",782,
Wadi Rum,28.9109012,34.4217753,أخرى,"Wadi Rum is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",783,
White Canyon Entrance,28.8795771,34.4302315,أخرى,"White Canyon Entrance is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",784,
Mushroom,28.8967052,34.4706156,أخرى,"Mushroom is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",787,
Mushroom,28.8139185,34.4472427,أخرى,"Mushroom is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",788,
Mushroom,28.9275448,34.4924907,أخرى,"Mushroom is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",789,
Mushroom,28.9255425,34.4965278,أخرى,"Mushroom is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",790,
Mushroom,28.791381,34.4258908,أخرى,"Mushroom is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",791,
Cathedral,28.8946913,34.4316626,أخرى,"Cathedral is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",792,
Saddle,28.5720833,34.5375978,أخرى,"Saddle is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",798,
Blue and Bells view stp,28.5747696,34.5399879,أخرى,"Blue and Bells view stp is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",799,
blue lagoon View STP,28.6356525,34.5785017,أخرى,"blue lagoon View STP is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",800,
ship wreck,28.8769173,34.8323912,أخرى,"ship wreck is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",803,
Blue hole,28.5725321,34.5375154,أخرى,"Blue hole is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",805,
el-Hammam,25.5157525,30.5430379,تاريخي,el-Hammam is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,806,
Ain el-Charab (Ain et-Turba),25.4809898,30.5559743,تاريخي,Ain el-Charab (Ain et-Turba) is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,807,
Bab el-Mukhenig,26.8691308,33.0359623,تاريخي,Bab el-Mukhenig is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,809,
Badr Museum,27.0619204,27.9684299,ثقافي,"Badr Museum in Farafra Oasis in the Western Desert is a unique artistic and cultural institution created entirely by local artist Badr Abdel Moghny. The museum showcases his paintings, sculptures, and pottery celebrating Bedouin life and desert culture. The building itself, constructed from mud-brick in traditional style, is itself a work of art.",811,50.0
العرابة المدفونة,26.175,31.911111,تاريخي,العرابة المدفونة is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,812,
Tomb T Tomb of Pharaoh Den,26.1744336,31.9077693,أخرى,Tomb T Tomb of Pharaoh Den is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,813,
Pyramid of Ahmose,26.175,31.93778,تاريخي,"The pyramid of Ahmose I at Abydos is associated with the founder of the 18th Dynasty and the New Kingdom, who expelled the Hyksos and reunified Egypt around 1550 BCE. Unlike typical pyramids, it was a cenotaph rather than an actual burial place. Nearby at Abydos is a remarkable painted pyramid chapel and a large brick pyramid that stands as a monument to this transformative pharaoh.",815,
Mortuary temple of Senwosret III,26.1782655,31.9295357,تاريخي,"The mortuary temple of Senwosret III at Dahshur dates to the Middle Kingdom's 12th Dynasty. Senwosret III was one of ancient Egypt's most powerful kings, famous for his military campaigns into Nubia and his administrative reforms. The complex once included a causeway, valley temple, and subsidiary pyramids for royal women.",817,100.0
al-Maḥāsna,26.2606441,31.8401232,تاريخي,al-Maḥāsna is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,818,
Tomb of Anedjib (X),26.1750269,31.9071242,تاريخي,Tomb of Anedjib (X) is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,819,
Tomb of Djet (Z),26.1748076,31.9076058,تاريخي,Tomb of Djet (Z) is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,820,
Tomb of Djer (O),26.1752649,31.9079027,تاريخي,Tomb of Djer (O) is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,821,
S 9 (Abydos),26.1713576,31.9250733,تاريخي,S 9 (Abydos) is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,822,
Kom El Sultan,26.1925455,31.9111476,تاريخي,Kom El Sultan is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,823,
Wadi Qabr Rijm-Shea 'leq,24.1194728,35.2754634,تاريخي,Wadi Qabr Rijm-Shea 'leq is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,825,
نقطة لاما Lama point,23.5031616,25.5748104,أخرى,"نقطة لاما Lama point is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",826,
Qift,25.9961949,32.8161441,تاريخي,Qift is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,828,
Pyramid of Naqada,25.94056,32.70917,أخرى,Pyramid of Naqada is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,829,
svu theater,26.1920215,32.7425499,أخرى,"svu theater is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",830,
Pyramid of Nubt,25.9765548,32.7329707,أخرى,Pyramid of Nubt is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,834,
Sunset view,29.1923655,25.4785569,أخرى,"Sunset view is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",844,
قلعة المويلح,27.6821316,35.476073,تاريخي,"قلعة المويلح is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",846,
جبل الكريستال Crystal Mountain,27.6617066,28.4300922,أخرى,"جبل الكريستال Crystal Mountain is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",847,
Crystal Mountain,27.6437708,28.4300627,أخرى,"Crystal Mountain is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",848,
East Abu Dabab 3,25.3441825,34.7774058,أخرى,"East Abu Dabab 3 is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",849,
Ras Shona,25.4684135,34.6819826,أخرى,"Ras Shona is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",850,
Abu Dabab 6,25.3248029,34.7983978,أخرى,"Abu Dabab 6 is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",851,
Shaab Shona,25.4698771,34.6828121,أخرى,"Shaab Shona is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",852,
Abu Dabab 4,25.34062,34.79488,أخرى,"Abu Dabab 4 is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",856,
Door to the sea,25.3414947,34.738897,أخرى,"Door to the sea is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",869,
Chariot,25.3416492,34.7389895,أخرى,"Chariot is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",870,
Concorde House Reef (Dive Spot),25.3813405,34.7183208,أخرى,"Concorde House Reef (Dive Spot) is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",871,
Hermes Bay (Dugong),25.3219566,34.7445343,أخرى,"Hermes Bay (Dugong) is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",872,
ProCenter Tommy Friedl El Naaba,25.3201422,34.7442929,أخرى,"ProCenter Tommy Friedl El Naaba is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",874,
Dunes Viewpoint,26.541896,27.8632948,أخرى,"Dunes Viewpoint is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",877,
Light House,28.4984313,34.5206951,أخرى,"Light House is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",887,
Eel Garden,28.5053487,34.5212322,أخرى,"Eel Garden is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",888,
Wadi Connection,28.4943621,34.4536865,خارجي وطبيعي,"Wadi Connection is an outdoor natural or recreational area in Egypt, offering visitors the opportunity to experience the country's diverse landscapes from the Nile Valley to the desert and Mediterranean coast.",897,
Residence Arabesque,28.501272,34.5172942,أخرى,"Residence Arabesque is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",912,
Canyon,28.4826336,34.468533,أخرى,"Canyon is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",913,
Bonduc,28.4837563,34.4691236,أخرى,"Bonduc is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",914,
Canyon,28.5186708,34.5043039,أخرى,"Canyon is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",918,
grotto,28.5133477,34.4940099,أخرى,"grotto is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",919,
Maria Schroeder,28.1905701,34.4468801,أخرى,"Maria Schroeder is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",921,
Mangroves,28.1823455,34.4420083,أخرى,"Mangroves is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",923,
Asala square,28.5069406,34.5172595,أخرى,"Asala square is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",924,
جبل الطويلات,28.4856776,34.4701454,أخرى,"جبل الطويلات is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",926,
Dahabian Oasis,28.5027686,34.5168523,أخرى,"Dahabian Oasis is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",928,
Welcome in Dahab,28.5231181,34.4724203,ثقافي,"Welcome in Dahab is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",937,
Nasyet Mekky,28.4946648,34.5175735,أخرى,"Nasyet Mekky is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",938,
Street Art,28.5001401,34.5154531,ثقافي,"Street Art is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",939,
Blue Hole appartement,28.4933125,34.5158036,أخرى,"Blue Hole appartement is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",944,
Doplhins,28.4862395,34.5094876,ثقافي,"Doplhins is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",952,
Dahab,28.4828199,34.5012163,ثقافي,"Dahab is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",953,
The Islands diving site,28.4774174,34.5124118,أخرى,"The Islands diving site is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",957,
Family house,28.4910639,34.5138126,أخرى,"Family house is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",961,
Gina Motel,28.4937174,34.5148856,أخرى,"Gina Motel is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",963,
Dahab: Minicasa,28.5079922,34.5156299,أخرى,"Dahab: Minicasa is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",967,
Eel Garden Villas Dahab,28.505566,34.5195327,أخرى,"Eel Garden Villas Dahab is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",969,
Tangerine House Dahab,28.5058049,34.5151414,أخرى,"Tangerine House Dahab is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",970,
Twin House Dahab,28.5029006,34.5199373,أخرى,"Twin House Dahab is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",971,
White House Dahab,28.5067185,34.5192017,أخرى,"White House Dahab is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",972,
Sunrise Apartment Dahab,28.5027093,34.519364,أخرى,"Sunrise Apartment Dahab is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",973,
Archeological site Akhetaton,27.6451003,30.8985614,أخرى,"Archeological site Akhetaton is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",975,
Pyramid of Khui,27.30778,30.87167,أخرى,Pyramid of Khui is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,976,
Southern tombs,27.6104256,30.9148957,تاريخي,Southern tombs is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,977,
Southern tombs,27.6162806,30.9199101,تاريخي,Southern tombs is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,978,
Southern tombs,27.6148249,30.9193441,تاريخي,Southern tombs is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,979,
Southern tombs,27.6142355,30.9191644,تاريخي,Southern tombs is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,980,
Southern tombs,27.6142617,30.9183276,تاريخي,Southern tombs is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,981,
Southern tombs,27.6142046,30.9181774,تاريخي,Southern tombs is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,982,
Southern tombs,27.6138576,30.9181184,تاريخي,Southern tombs is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,983,
Southern tombs,27.6136568,30.9182417,تاريخي,Southern tombs is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,984,
Southern tombs,27.6134393,30.9183142,تاريخي,Southern tombs is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,985,
Southern tombs,27.6131624,30.9183651,تاريخي,Southern tombs is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,986,
Southern tombs,27.6120014,30.916395,تاريخي,Southern tombs is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,987,
Southern tombs,27.6122272,30.9163615,تاريخي,Southern tombs is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,988,
Southern tombs,27.6122391,30.9166525,تاريخي,Southern tombs is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,989,
Southern tombs,27.6122617,30.916855,تاريخي,Southern tombs is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,990,
Southern tombs,27.6122795,30.9173968,تاريخي,Southern tombs is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,991,
Southern tombs,27.6124173,30.9173486,تاريخي,Southern tombs is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,992,
Southern tombs,27.612497,30.9179105,تاريخي,Southern tombs is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,993,
Southern tombs,27.6126895,30.9173955,تاريخي,Southern tombs is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,994,
Southern tombs,27.6125279,30.9173901,تاريخي,Southern tombs is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,995,
"Stelae ""U"", Athon's Sun-hymn",27.6456245,30.9381625,أخرى,"Stelae ""U"", Athon's Sun-hymn is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",996,
Mareia,30.9951309,29.6566185,تاريخي,Mareia is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1005,
Kom el-Nagous,30.9560804,29.5404993,تاريخي,Kom el-Nagous is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1010,
Work house,30.8873839,29.5787988,أخرى,"Work house is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1020,
South Gate（To Old Abu-Mema）,30.8501229,29.6636069,أخرى,"South Gate（To Old Abu-Mema） is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1021,
Abu Mena UNESCO World Heritage Site,30.8410692,29.6633763,تاريخي,Abu Mena UNESCO World Heritage Site is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1022,
Rosana Owners Beach,30.9154952,29.4314614,أخرى,"Rosana Owners Beach is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1028,
Rosana Rent Beach,30.9169072,29.4346645,أخرى,"Rosana Rent Beach is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1029,
Rosana Owners Beach,30.915669,29.4320468,أخرى,"Rosana Owners Beach is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1031,
قرية سيد درويش بنجر السكر,30.8195073,29.589377,أخرى,"قرية سيد درويش بنجر السكر is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1033,
قرية سيد درويش بنجر السكر,30.8195073,29.589377,أخرى,"قرية سيد درويش بنجر السكر is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1034,
قرية الزهور بنجر السكر,30.7987595,29.568735,أخرى,"قرية الزهور بنجر السكر is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1035,
